objectid,title,date,url,filename,subject,location,description,format,source,rights
litur001,"Music fragments from the late14th century, a Credo, an Alleluia, and two motets",1375,https://www.loc.gov/item/2013566953/,2013566953.jpg,motets;masses;14th century,,"Manuscripts. Texts in Anglo-Norman and Latin. Title devised by cataloger. In black and red ink on parchment. Removed from binding of Britton, Johannes. De legibus Angliae (Law Library ms. 7. Br. XIV). Mensural notation. Five lines staves in red ink; C clefs. Bent, Margaret, 'Washington, Library of Congress, M2.1 .C6 1400 Case: A Neglected English Fragment', in Jared C. Hartt, Benjamin Albritton, and Tamsyn Mahoney-Steel (eds.), Manuscripts, Music, Machaut: Essays in Honor of Lawrence Earp, Épitome musical (Turnhout: Brepols, 2022) Bernard Ouarich (Firm). Catalogue of the literature and history of the British Islands. Part IV, section XIV-supplement. (London : Bernard Quarich, 1900). Entry#3416, pages 368-369. Lefferts, Peter M. The motet in England in the fourteenth Century. (Ann Arbor: UMI Research Press, 1986)",image/jpeg,"Library of Congress, Music Division.",The contents of the Library of Congress 10th-16th Century Liturgical Chants Collection are in the public domain and are free to use and reuse.
litur002,Notated breviary leaf,0900-01-01,https://www.loc.gov/item/2010563285/,2010563285.jpg,gregorian chants;saint;antiphons (music);breviaries;lucy;morning service music;songs and music,,"Breviary fragment from a 10th century monastic manuscript possibly Benedictine. Text and music of Matins for the nativity of St. Lucy. In ink, rubricated. German staffless neumes possibly St. Gall; differenciae in margins. Ricci, S. de. Census of medieval and renaissance mss., p. 242, no. 154 Purchase; Joseph Baer & Co.; May 1927.",image/jpeg,"Library of Congress, Music Division.",The contents of the Library of Congress 10th-16th Century Liturgical Chants Collection are in the public domain and are free to use and reuse.
litur003,Tracts for Good Friday,1000-01-01,https://www.loc.gov/item/2010563311/,2010563311.jpg,gregorian chants;good friday music;antiphons (music),,"Tracts for Good Friday (Domine audivi, and Eripe me, domine); preceded by part of a psalm antiphon. Tract fragment from the 11th century. Latin text. In ink, rubricated. Central Italian neumes on a dry-point grid, with red F-line and C and F clefs before some lines. Ricci, S. de. Census of medieval and renaissance mss., p. 242, no. 155 Purchase; Joseph Baer & Co.; May 1927.",image/jpeg,"Library of Congress, Music Division.",The contents of the Library of Congress 10th-16th Century Liturgical Chants Collection are in the public domain and are free to use and reuse.
litur004,Manuscript fragments containing early music notation,1000-01-01,https://www.loc.gov/item/2012564127/,2012564127.jpg,scores;gregorian chants,,"Cataloger devised title. Manuscript. In black ink on vellum, rubricated, with initials in red and blue ink. Pages appear to have been torn in half horizontally. ""28, 29; Found 7/26/84 on 1309 near Richard Hill Collection""--Accompanying folder. Latin text. Square neumes.",image/jpeg,"Library of Congress, Music Division.",The contents of the Library of Congress 10th-16th Century Liturgical Chants Collection are in the public domain and are free to use and reuse.
litur005,Breviarium,1000-01-01,https://www.loc.gov/item/2012563806/,2012563806.jpg,breviaries;gregorian chants,,"Latin text. Two bifolia fragments (both bottom halves) from an 11th century breviary. German staffless neumes showing liquescence. In ink, rubricated. Manuscript on vellum. Ricci, S. de. Census of medieval and renaissance mss., p. 242, no. 156.2 Purchase; Maggs; July 1927.",image/jpeg,"Library of Congress, Music Division.",The contents of the Library of Congress 10th-16th Century Liturgical Chants Collection are in the public domain and are free to use and reuse.
litur006,Antiphonarium,1000-01-01,https://www.loc.gov/item/2010560230/,2010560230.jpg,gregorian chants;divine office (music),,"Latin text. In ink, rubricated. Antiphonal leaf from the 11th century that contains parts of matins, prime, terce, sext, none, and vespers for the Monday after the octave of Epiphany, with fragments of offices before and after that day. Heightened neumes, in double column; faint dry-point grid with red F-line and letter-markers for A and C; instances of B-flat. Ricci, S. de. Census of medieval and renaissance mss., p. 242, no. 156.6 Purchase; Maggs; July 1927.",image/jpeg,"Library of Congress, Music Division.",The contents of the Library of Congress 10th-16th Century Liturgical Chants Collection are in the public domain and are free to use and reuse.
litur007,Missale,1000-01-01,https://www.loc.gov/item/2010563282/,2010563282.jpg,missals;gregorian chants,,"Notated missal. Latin text. French origin. Staffless neumes in two columns and in different hands, one area faded by a stain. In ink. Alleluia, Gospel, with decorative initial. Ricci, S. de. Census of medieval and renaissance mss., p. 243, no. 157 Purchase; Olschki; 1929.",image/jpeg,"Library of Congress, Music Division.",The contents of the Library of Congress 10th-16th Century Liturgical Chants Collection are in the public domain and are free to use and reuse.
litur008,Jubilate,1100-01-01,https://www.loc.gov/item/2012564126/,2012564126.jpg,scores;gregorian chants,,"Cataloger devised title. Manuscript fragment. Latin text. Hufnagel notation. In black ink on vellum, rubricated, with initials in red and blue ink. ""Werenbergu Exercitationes Logicae 4."" Binder's waste. ""27; found 7/26/84 on 1309 near Richard Hill Collection""--Accompanying folder. Bequest; Richard S. Hill; May 10, 1961.",image/jpeg,"Library of Congress, Music Division.",The contents of the Library of Congress 10th-16th Century Liturgical Chants Collection are in the public domain and are free to use and reuse.
litur009,Breviarium,1100-01-01,https://www.loc.gov/item/2012563803/,2012563803.jpg,vespers (music);breviaries;gregorian chants,,"Secular breviary fragment from the late 12th century. Latin text. In ink, rubricated. German staffless neumes on two biofolia. Octave of Easter, vespers, invitatory, lessons. Ricci, S. de. Census of medieval and renaissance mss., p. 242, no. 156.1 Purchase; Maggs; July 1927.",image/jpeg,"Library of Congress, Music Division.",The contents of the Library of Congress 10th-16th Century Liturgical Chants Collection are in the public domain and are free to use and reuse.
litur010,Sacramentarium,1100-01-01,https://www.loc.gov/item/2010560402/,2010560402.jpg,gregorian chants;sacramentaries,,"Gradual plus verses with melismas, alleluia, gospel, offertory; includes part of the mass for the marriage sacrament. Latin text. In ink, rubricated. German staffless neumes with some heightening. Ricci, S. de. Census of medieval and renaissance mss., p. 243, no. 156.12 Purchase; Maggs; July 1927.",image/jpeg,"Library of Congress, Music Division.",The contents of the Library of Congress 10th-16th Century Liturgical Chants Collection are in the public domain and are free to use and reuse.
litur011,Breviarium,1100-01-01,https://www.loc.gov/item/2010560238/,2010560238.jpg,feast of the holy innocents;responses (music);antiphons (music);breviaries;gregorian chants;songs and music,,"Notated monastic breviary fragment from the 12th or early 13th century; matins lessons chiefly for the Feast of the Holy Innocents, the Circumcision, and some for the matins Nativity; antiphons and responses. Latin words. In ink, rubricated. Bifolium. German staffless neumes. Ricci, S. de. Census of medieval and renaissance mss., p. 242, 156.3 Purchase; Maggs; July 1927. Accession no. 366084",image/jpeg,"Library of Congress, Music Division.",The contents of the Library of Congress 10th-16th Century Liturgical Chants Collection are in the public domain and are free to use and reuse.
litur012,Brevarium,1100-01-01,https://www.loc.gov/item/2010560236/,2010560236.jpg,responses (music);antiphons (music);breviaries;gregorian chants;morning service music,,"In ink, rubricated. German notated breviary fragment from the 12th century; lessons and responsories for matins of Christmas Eve, followed by complete lauds and lesser hours and prime, terce, sext. Example of melisma within decorative red lines. German staffless neumes, with some heightening; double column. Latin words. Ricci, S. de. Census of medieval and renaissance mss., p. 242, 156.5 Purchase; Maggs; July 1927.",image/jpeg,"Library of Congress, Music Division.",The contents of the Library of Congress 10th-16th Century Liturgical Chants Collection are in the public domain and are free to use and reuse.
litur013,Breviarium,1100-01-01,https://www.loc.gov/item/2010560227/,2010560227.jpg,breviaries;gregorian chants;responses (music),,"Notated monastic breviary. Latin text. In ink, rubricated. Contains music from the Office of Nativity of the Virgin Mary. Ricci, S. de. Census of medieval and renaissance mss., p. 242, no. 156.7 Purchase; Maggs; July 1927. LC copy leaf trimmed.",image/jpeg,"Library of Congress, Music Division.",The contents of the Library of Congress 10th-16th Century Liturgical Chants Collection are in the public domain and are free to use and reuse.
litur014,Graduale,1200-01-01,https://www.loc.gov/item/2010563281/,2010563281.jpg,tropes (music);antiphons (music);500 to 1400;sequences (music);gregorian chants,,"Latin text. Manuscript on vellum. German staffless neumes; neumes on black 4-lined staff added at a later date at end. Contains Marian chants, Alleluias, Sanctus trope, and Sequence. Ricci, S. de. Census of medieval and renaissance mss., p. 242, no. 156.8 Purchase; Maggs; July 1927.",image/jpeg,"Library of Congress, Music Division.",The contents of the Library of Congress 10th-16th Century Liturgical Chants Collection are in the public domain and are free to use and reuse.
litur015,Two fragments from a ms. antiphonary with neumic notation : removed from the binding of a Latin Bible printed in 1497,1200-01-01,https://www.loc.gov/item/96214824/,96214824.jpg,antiphonaries,,"Ms., on parchment; rubricated. Chant melodies in staffless notation. Removed at the Library of Congress from the lower cover of v. 2 of the Library's copy  of the 4-volume Latin Bible printed in Nuremberg by Anton Koberger 6 Sept. 1497 (LC bibliographic record 81-455490). Written probably north of the Alps, all by one monastic scribe. Preserved are: the upper two-thirds of a leaf containing responsories and antiphons for 2nd and 3rd weeks in Lent, and incomplete (inner column mutilated) upper two-thirds of another leaf of similar character (week unidentified).",image/jpeg,"Library of Congress, Music Division.",The contents of the Library of Congress 10th-16th Century Liturgical Chants Collection are in the public domain and are free to use and reuse.
litur016,Antiphonarium,1200-01-01,https://www.loc.gov/item/2010563283/,2010563283.jpg,gregorian chants;morning service music;responses (music);antiphons (music),,"Monastic antiphonary. Six matins responsories for Sexagesima Sunday. Latin text. In ink, rubricated. German Hufnagel neumes on 4-line staff, with red F-line and F and C clefs. Ricci, S. de. Census of medieval and renaissance mss., p. 242, no. 156.9 Purchase; Maggs; July, 1927.",image/jpeg,"Library of Congress, Music Division.",The contents of the Library of Congress 10th-16th Century Liturgical Chants Collection are in the public domain and are free to use and reuse.
litur017,Breviarium,1200-01-01,https://www.loc.gov/item/2010563284/,2010563284.jpg,vespers (music);divine office (music);biblical figure);responses (music);antiphons (music);judith;canticles;gregorian chants;songs and music,,"Notated secular breviary. Three lections from Judith I; includes antiphons, responses, three office canticles, music for vespers, and one nocturne of matins. Latin text. In ink, rubricated. German Hufnagel staffless neumes in two columns. Ricci, S. de. Census of medieval and renaissance mss., p. 242, no. 156.10 Purchase; Maggs; July 1927.",image/jpeg,"Library of Congress, Music Division.",The contents of the Library of Congress 10th-16th Century Liturgical Chants Collection are in the public domain and are free to use and reuse.
litur018,Breviarium,1200-01-01,https://www.loc.gov/item/2010560401/,2010560401.jpg,gregorian chants;divine office (music);morning service music;responses (music),,"Notated breviary Lessons and responsories for Sunday matins from September to the first of October. Latin text. In ink, rubricated. German staffless neumes showing liquescenes; two bifolia. Ricci, S. de. Census of medieval and renaissance mss., p. 242, no. 156.11 Purchase; Maggs; July 1927.",image/jpeg,"Library of Congress, Music Division.",The contents of the Library of Congress 10th-16th Century Liturgical Chants Collection are in the public domain and are free to use and reuse.
litur019,Graduale,1200-01-01,https://www.loc.gov/item/2010560403/,2010560403.jpg,graduals (chants);gregorian chants,,"Bifolium fragment with musical notation and illuminated initials in green and red; from the liturgy for the feast of Pentecost. Latin text. In ink with frequent rubrics. German neumes on 4-line brown staves in two columns with C marked; some melismatic neumes. Ricci, S. de. Census of medieval and renaissance mss., p. 243, no. 156.13 Purchase; Maggs; July 1927.",image/jpeg,"Library of Congress, Music Division.",The contents of the Library of Congress 10th-16th Century Liturgical Chants Collection are in the public domain and are free to use and reuse.
